,BITCOIN,ETHEREUM,BINANCECOIN,RIPPLE,SOLANA,TRON,DOGECOIN,CARDANO,BITCOIN-CASH,WHITEBIT,LEO-TOKEN,MONERO,CHAINLINK,HYPERLIQUID,STELLAR,WETH,ZCASH,LITECOIN,SUI,AVALANCHE-2,HEDERA-HASHGRAPH,SHIBA-INU,THE-OPEN-NETWORK,CRYPTO-COM-CHAIN,POLKADOT,UNISWAP,MANTLE
2025-01-30,103718.97939813645,3114.4358854363104,667.745952530571,3.0691756838533526,228.6145425527223,0.24009173457621777,0.32444430413016984,0.9416326058959792,415.34346116540627,28.390899612623503,9.760371963521825,221.7262159107008,23.683911439290295,23.74410626301079,0.39301921944182144,3114.111164473836,42.56031552820806,115.84292822452711,3.7029959604429328,32.85402842424187,0.3091291486462058,1.8301175608699826e-05,4.830030677681154,0.12856627825698583,5.770414948314038,11.727649028730305,1.0777030095798834
2025-01-31,104781.5135100103,3248.249484352305,676.9452959901981,3.1319365812312867,239.04719726337646,0.2521090952796291,0.331229318699267,0.9609684445044405,434.73672407292634,28.499676584640532,9.761544423013335,231.86691431842337,24.490732702179567,27.68872825548394,0.43062638311821116,3249.9675676963984,43.987426402358935,129.84366772430988,4.1207925310248275,34.306853327738345,0.31647259821505236,1.868444404782593e-05,4.818373354260492,0.1309790556705505,6.127695465821283,11.971730357889827,1.1632975498858689
2025-02-01,102382.39409722165,3296.390634843652,677.1124207686067,3.0378089439522897,231.50782299297455,0.2537733524660056,0.3286011882787202,0.9425307818897108,424.1192343098708,28.203255815555828,9.772084346904265,239.02536001237118,25.110047372151364,26.90772719520058,0.41434035391999546,3291.5399414644808,43.155966190394956,128.21183599988407,4.08523317394472,34.40327525683963,0.30629226682309557,1.8874176613459652e-05,4.825859129820997,0.12968697824949058,6.3149306445701106,11.755690988763119,1.2331161971072984
2025-02-02,100674.78762544956,3125.0386801320924,654.217143435919,2.8808649918084224,214.46366422580272,0.24469488255136354,0.3082767330501114,0.8982630053120425,404.1463804445375,28.129003221418728,9.790078810602468,234.1794184943802,23.056632816357343,23.65299411298062,0.39344826493515167,3117.562427786342,39.63201492627105,119.29690660995936,3.7578974977583375,32.224672305224274,0.28658119960687284,1.768461049418517e-05,4.5970803295540925,0.12391837375860768,5.925742650245715,10.897843558526445,1.156093916058788
2025-02-03,97568.31653024875,2862.6976188716285,616.6428289864358,2.5701343337873217,202.32492853599265,0.2249982248299759,0.26495513491451017,0.7981056815290045,358.3425205749593,27.87159898871309,9.679008620564918,219.9346158326392,20.37978818353273,22.169205122636715,0.35257812794238697,2864.0446178484995,33.287446924312725,109.31031015468574,3.288853752992191,27.440534730531102,0.2517862455754579,1.5461478424456613e-05,4.036465270678325,0.10784156595743281,5.1223498891675625,9.141561600707934,1.0517744974419945
2025-02-04,101466.8606657039,2877.8138239498767,616.4068055452193,2.692671869551836,215.95147229807475,0.2288033149995345,0.28474455087156375,0.8095252800415622,352.8300293583465,28.223189062146574,9.777929477524001,226.07851808855617,21.617123404580568,25.12064644668724,0.36975179743265,2878.0862519570537,35.644080370951606,106.68160642173409,3.644883982527047,28.384520680812535,0.27441968801260375,1.6758652321727645e-05,4.074085309408775,0.1135723859174423,5.177344192231989,9.943346602700567,1.2278457690912505
2025-02-05,98118.43921664466,2740.3809762760143,573.6042069760077,2.5396358959727894,207.42406393975517,0.22487408146370677,0.2646612964531275,0.7469703594022901,330.736544231964,27.768283831349585,9.85945425212102,220.6487690234824,20.087402196366924,25.168849905387297,0.3418269953629684,2731.202282631574,32.14597290280563,101.67696315466425,3.615512754554269,26.502613436324033,0.25131688349028725,1.5795483129033613e-05,3.798740090272049,0.10698542687820564,4.7465688265166195,9.099730987401706,1.146722016186544
2025-02-06,96582.88682919052,2790.5521609256075,569.5181048818762,2.382739358632423,196.21787573260255,0.22272512627622412,0.2563093131836389,0.7332663432877611,327.8712900247892,27.3983322320868,9.849252767698035,226.8455319782341,19.198024632936182,24.67081850626999,0.3269147922323305,2788.2658417051366,32.09938840428082,103.2990388548491,3.3293470626498083,25.906964325816567,0.23862088348596772,1.5768798822590807e-05,3.784515370800481,0.10176927141937912,4.692305822775594,9.262710939680247,1.1413237805845025
2025-02-07,96635.41875332211,2686.662316793651,572.2112608064776,2.3220918869431886,189.38932513491977,0.23169313898086838,0.24769940269332982,0.7039815460494513,315.7618063561651,27.611624081753433,9.800717467698377,222.37815540932624,18.561646996158856,23.81687953438349,0.31790580389751777,2681.4597266731216,29.768465646494978,101.47893246342676,3.136012409824577,24.48427516088455,0.22795845285888963,1.484594708761407e-05,3.729983732852677,0.095827752493437,4.488024986683552,8.964217971455772,1.091699088826759
2025-02-08,96558.4563096667,2623.4507017824767,578.4992668082035,2.392435922501591,192.2709679394336,0.23010046029958314,0.2466117141109805,0.7068603366492864,318.45219357442795,27.53061842465009,9.795058940164234,204.71032274457934,18.36922944342142,22.81081829757962,0.32714652696709423,2618.4649125366404,30.09027193946544,103.39476312241148,3.001364234887233,24.400600056663496,0.23269814776525197,1.5094685840596346e-05,3.7171105649982468,0.09431749137059235,4.584974629536713,9.019818867638127,1.0540560967831034
2025-02-09,96558.23762501091,2635.6011418023404,614.7094865407944,2.4256391631678023,199.70939394589394,0.23188542735898757,0.2531578984892705,0.7021784786978031,323.4264357565817,27.195113251740576,9.824018083031877,214.16999884435907,18.47215340360934,23.51742827761717,0.332605320315971,2635.4008783247523,31.749461246055056,104.61729918059041,3.075274356573514,24.588690538931782,0.23456781020147038,1.596017626980966e-05,3.7442762975519823,0.0944209441234977,4.747784336106698,9.1358238487884,1.0490694934380043
2025-02-10,96548.57865379585,2632.5358220552475,617.2838550746773,2.3984218500627317,200.44634668796408,0.2336362649273569,0.24934929346601817,0.6829085131547858,325.01463501444056,27.26402512905759,9.92233786478916,220.25062178262965,18.279645916836632,23.02262302865193,0.31483626930614894,2628.047880075481,32.630590918977006,107.73419511788468,3.0007149624208465,24.893274321017916,0.22894850717705365,1.5698371787074686e-05,3.8379454462140634,0.09349751369306276,4.768484213122575,9.119590389093723,1.028820997379483
2025-02-11,97399.98161383197,2660.2967996436387,617.6277634766806,2.4205102148292257,200.0458466193684,0.24639943316017532,0.2548535882592439,0.7092884772777551,328.80540048364907,27.625004171903928,9.84283082092991,221.7988435179244,18.735439268388735,23.320350814238573,0.31251377189556767,2658.9828226136297,32.47663293635799,120.05069573017687,3.208046016946289,25.58997652902764,0.23172476093286012,1.5793461323522236e-05,3.813417599449371,0.0941830260343639,4.835423126063689,9.451570461272043,1.0217088551319253
